Date,USD/LBP_Rate_BlackMarket,USD/LBP_OfficialRate,Fuel95_LBPper20L,Diesel_LBPper20L,GasCylinder_LBP,Electricity_Hours_Avg,Bread_Price_LBP,Imports_Value_USD,Exports_Value_USD,Top_Import_Commodity,Top_Export_Commodity,Port_Activity_Tons,Trade_Balance_USD,Notes
2025-09-16,89550,15000,1486000,1358000,996000,9,65000,9611000000,1745000000,Mineral products,Pearls & precious stones,3070000,-7866000000,"Exchange & fuel snapshot (mid-Sep); imports/exports are H1 2025 cumulative"
2025-09-26,89498,15000,1490000,1374000,1068000,9,65000,9611000000,1745000000,Mineral products,Pearls & precious stones,3070000,-7866000000,"Updated exchange & fuel snapshot (late-Sep); imports/exports H1 2025 cumulative"
